x,y,psi,kappa,s
5.324645348246128407e+01,-5.661111724066346662e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.324946469712818242e+01
5.374284036059877678e+01,-5.713953124083301915e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.374587969984531099e+01
5.423922723873626239e+01,-5.766794524100257169e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.424229470256243246e+01
5.473561411687375511e+01,-5.819635924117211312e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.473870970527956104e+01
5.523200099501123361e+01,-5.872477324134164345e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.523512470799667540e+01
5.572838787314871922e+01,-5.925318724151118488e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.573153971071379686e+01
5.622477475128621194e+01,-5.978160124168073741e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.622795471343092544e+01
5.672116162942369755e+01,-6.031001524185027884e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.672436971614804690e+01
5.721754850756119026e+01,-6.083842924201983138e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.722078471886517548e+01
5.771393538569866877e+01,-6.136684324218936171e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.771719972158228984e+01
5.821032226383615438e+01,-6.189525724235891424e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.821361472429941131e+01
5.870670914197364709e+01,-6.242367124252845567e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.871002972701653988e+01
5.920309602011113270e+01,-6.295208524269800821e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.920644472973366135e+01
5.969948289824862542e+01,-6.348049924286754964e-01,-1.064480276922244451e-02,0.000000000000000000e+00,5.970285973245078992e+01
6.019586977638608971e+01,-6.400891324303709107e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.019927473516789007e+01
6.069225665452358243e+01,-6.453732724320662140e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.069568973788501864e+01
6.118864353266106804e+01,-6.506574124337617393e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.119210474060214011e+01
6.168503041079856075e+01,-6.559415524354572646e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.168851974331926868e+01
